股票名称,代码,今开,最高,最低,成交量,涨停,内盘,成交额,委比,流通市值,市盈率,每股收益,总股本,昨收,换手率,跌停,外盘,振幅,量比,总市值,高净率,每股净资产,流通股本
 鲁,726,10.07,10.11,9.93, 2.46万手,11.08, 1.01万手, 2473.23万,2.23%, 56.62亿,14.61,0.17, 9.23亿,10.07,0.44%, non, 1.45万手,1.79%,0.27, 93.09亿,1.26,7.99, 5.61亿
 中兴商业,715,6.4,6.52,6.4, 6860手,7.08, 2894手, 443.62万,-43.24%, 18.13亿,26.61,0.06, 2.79亿,6.44,0.25%, non, 3966手,1.86%,0.21, 18.16亿,1.41,4.62, 2.79亿
 黑芝麻,716,3.59,3.67,3.57, 7.26万手,3.92, 3.20万手, 2632.36万,-47.36%, 21.41亿,50.97,0.02, 7.06亿,3.56,1.23%, non, 4.07万手,2.81%,0.29, 25.69亿,0.99,3.66, 5.88亿
 恒逸石化,703,16.11,16.86,16.08, 26.86万手,17.38, 11.35万手, 4.44亿,-81.67%, 347.58亿,13.75,0.43, 23.08亿,15.8,1.29%, non, 15.51万手,4.94%,3.22, 386.09亿,2.21,7.57, 20.78亿
 沈阳化工,698,4.37,4.38,4.29, 5.60万手,4.81, 2.93万手, 2423.28万,-42.83%, 18.81亿,24.49,0.04, 8.20亿,4.37,1.29%, non, 2.67万手,2.06%,0.32, 35.65亿,0.8,5.42, 4.32亿
 厦门信达,701,7.04,7.08,7, 2.08万手,7.74, 9957手, 1467.23万,-54.62%, 26.72亿,23.54,0.08, 4.07亿,7.04,0.55%, non, 1.09万手,1.14%,0.24, 28.75亿,0.91,7.8, 3.78亿
 炼石有色,697,16.52,17.3,16.52, 6.29万手,17.79, 2.54万手, 1.07亿,-39.34%, 77.32亿, --,-0.05, 5.60亿,16.17,1.39%, non, 3.75万手,4.82%,0.97, 95.37亿,6.51,2.62, 4.54亿
 华东科技,727,1.83,1.85,1.82, 10.55万手,2.01, 6.00万手, 1934.47万,-9.34%, 53.63亿, --,-0.05, 45.30亿,1.83,0.36%, non, 4.55万手,1.64%,0.17, 82.89亿,0.79,2.33, 29.31亿
 锦龙股份,712,8.5,8.58,8.44, 2.99万手,9.34, 1.33万手, 2546.18万,-7.38%, 76.33亿,51.18,0.04, 8.96亿,8.49,0.33%, non, 1.66万手,1.65%,0.29, 76.43亿,2.04,4.17, 8.95亿
 惠天热电,692,3.21,3.27,3.19, 1.80万手,3.58, 1.04万手, 581.43万,4.02%, 17.16亿, --,-0.12, 5.33亿,3.25,0.34%, non, 7649手,2.46%,0.23, 17.16亿,1.36,2.37, 5.33亿
 宝新能源,690,7.11,7.21,7.1, 4.98万手,7.82, 2.69万手, 3571.77万,-35.33%, 146.62亿,60.96,0.03, 21.76亿,7.11,0.24%, non, 2.29万手,1.55%,0.17, 156.45亿,1.84,3.92, 20.39亿
 模塑科技,700,3.67,3.73,3.66, 2.03万手,4.05, 1.13万手, 747.04万,-12.92%, 25.73亿,71.09,0.01, 8.27亿,3.68,0.29%, non, 8966手,1.90%,0.2, 30.52亿,1.21,3.06, 6.97亿
 *ST双环,707,3,3.06,2.98, 3.88万手,3.17, 2.30万手, 1169.14万,8.29%, 13.97亿, --,-0.2, 4.64亿,3.02,0.84%, non, 1.57万手,2.65%,0.36, 13.97亿,5.23,0.58, 4.64亿
 东北证券,686,6.18,6.22,6.13, 5.95万手,6.82, 3.16万手, 3670.68万,-13.06%, 144.87亿,27.25,0.06, 23.40亿,6.2,0.25%, non, 2.78万手,1.45%,0.18, 144.87亿,0.93,6.66, 23.40亿
 华讯方舟,687,8.19,8.24,8.09, 2.08万手,9.01, 1.29万手, 1698.82万,-63.69%, 43.40亿,88.95,0.02, 7.66亿,8.19,0.39%, non, 7900手,1.83%,0.38, 62.90亿,4.2,1.95, 5.29亿
 S*ST佳纸,699,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 国城矿业,688,11.77,11.9,11.65, 1.97万手,13.02, 1.07万手, 2311.79万,29.11%, 132.72亿,25.91,0.23, 11.37亿,11.84,0.17%, non, 8978手,2.11%,0.11, 132.72亿,5.75,2.03, 11.37亿
 滨海能源,695,8.7,8.88,8.65, 4628手,9.6, 2667手, 406.52万,7.54%, 19.56亿,197.61,0.01, 2.22亿,8.73,0.21%, non, 1960手,2.63%,0.09, 19.59亿,5.76,1.53, 2.22亿
 东方电子,682,3.72,3.75,3.69, 1.44万手,4.09, 7799手, 537.09万,-41.38%, 36.49亿,164.39,0.01, 13.41亿,3.72,0.15%, non, 6641手,1.61%,0.17, 50.01亿,2.08,1.79, 9.78亿
 大连友谊,679,4.66,4.69,4.62, 1.72万手,5.13, 8746手, 802.05万,-38.17%, 16.61亿,63.71,0.02, 3.56亿,4.66,0.48%, non, 8496手,1.50%,0.15, 16.61亿,1.23,3.8, 3.56亿
 ST宏业,689,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 山推股份,680,4.07,4.13,4.01, 25.54万手,4.51, 14.59万手, 1.03亿,-11.76%, 42.81亿,29.88,0.03, 12.41亿,4.1,2.42%, non, 10.94万手,2.93%,0.55, 50.25亿,1.5,2.7, 10.57亿
 视觉中国,681,26.43,27.74,26.43, 7.29万手,29.07, 2.96万手, 2.00亿,-52.70%, 85.81亿,121.3,0.06, 7.01亿,26.43,2.35%, non, 4.33万手,4.96%,2.19, 193.64亿,7.47,3.7, 3.10亿
 *ST华泽,693,--, --, --, --,3.48, --, --, --, 8.55亿, --,0, 5.43亿,3.31, --, non, --, --, --, 17.99亿,-1.24,-2.66, 2.58亿
 恒天海龙,677,3.38,3.43,3.35, 2.77万手,3.73, 1.89万手, 934.54万,23.44%, 29.12亿, --,0, 8.64亿,3.39,0.32%, non, 8786手,2.36%,0.15, 29.12亿,10.71,0.31, 8.64亿
 亚太实业,691,3.65,3.85,3.62, 5.84万手,4, 2.61万手, 2196.25万,-11.22%, 10.95亿, --,0, 3.23亿,3.64,2.01%, non, 3.24万手,6.32%,2, 12.19亿,16.69,0.23, 2.90亿
 盈方微,670,4.01,4.08,3.98, 17.41万手,4.46, 9.95万手, 6989.46万,27.65%, 24.13亿, --,-0.02, 8.17亿,4.05,2.90%, non, 7.46万手,2.47%,1.31, 32.83亿,9.36,0.43, 6.00亿
 金鸿控股,669,5.89,5.98,5.81, 12.98万手,6.53, 7.93万手, 7639.26万,6.42%, 39.19亿,11.53,0.18, 6.80亿,5.94,1.94%, non, 5.05万手,2.86%,3.91, 39.80亿,0.68,8.66, 6.70亿
 远兴能源,683,3.17,3.2,3.14, 52.70万手,3.52, 32.28万手, 1.67亿,16.37%, 89.52亿,9.6,0.16, 39.67亿,3.2,1.86%, non, 20.42万手,1.87%,0.45, 125.36亿,1.33,2.37, 28.33亿
 荣丰控股,668,9.77,10.06,9.75, 4656手,10.77, 1325手, 463.77万,-35.04%, 14.67亿,144.05,0.02, 1.47亿,9.79,0.32%, non, 3331手,3.17%,0.32, 14.68亿,2.38,4.2, 1.47亿
 湖北广电,665,8.25,8.39,8.21, 3.26万手,9.1, 1.11万手, 2704.67万,26.62%, 53.37亿,14.41,0.15, 6.36亿,8.27,0.51%, non, 2.15万手,2.18%,0.79, 53.38亿,0.89,9.39, 6.36亿
 襄阳轴承,678,5.42,5.42,5.29, 3.66万手,5.94, 2.40万手, 1957.13万,-49.29%, 22.96亿,1421.44,0, 4.60亿,5.4,0.85%, non, 1.26万手,2.41%,0.11, 24.59亿,1.97,2.72, 4.29亿
 上峰水泥,672,10.2,10.35,10.06, 24.54万手,11.24, 12.46万手, 2.50亿,13.82%, 83.31亿,12.54,0.2, 8.14亿,10.22,3.02%, non, 12.08万手,2.84%,1.14, 83.31亿,3.46,2.96, 8.14亿
 长春高新,661,206.99,216.87,206.99, 2.18万手,229.03, 1.12万手, 4.63亿,-67.44%, 361.69亿,43.04,1.24, 1.70亿,208.21,1.28%, non, 1.06万手,4.75%,0.9, 361.91亿,8.04,26.45, 1.70亿
 ST银山,675,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 阳,671,5.87,6.1,5.86, 26.05万手,6.38, 12.57万手, 1.56亿,2.64%, 192.61亿,26.75,0.06, 40.50亿,5.8,0.80%, non, 13.48万手,4.14%,2.16, 240.17亿,1.56,3.8, 32.48亿
 智度股份,676,11.77,12.11,11.63, 5.72万手,12.75, 2.87万手, 6780.96万,-53.95%, 37.86亿,14.26,0.21, 9.66亿,11.59,1.79%, non, 2.85万手,4.14%,0.45, 114.63亿,2.21,5.38, 3.19亿
 珠海中富,659,2.29,2.52,2.28, 43.02万手,2.52, 39.92万手, 1.08亿,100.00%, 32.40亿, --,-0.01, 12.86亿,2.29,3.35%, non, 3.11万手,10.48%,1.84, 32.40亿,5,0.5, 12.86亿
 中钨高新,657,6.71,6.78,6.66, 2.43万手,7.47, 1.56万手, 1629.17万,-25.15%, 23.14亿,25.76,0.09, 8.80亿,6.79,0.71%, non, 8675手,1.77%,0.35, 59.23亿,1.34,5.02, 3.44亿
 金科股份,656,5.09,5.17,5.05, 25.91万手,5.6, 13.55万手, 1.32亿,43.67%, 264.46亿,46.59,0.03, 53.40亿,5.09,0.50%, non, 12.36万手,2.36%,0.2, 270.72亿,1.49,3.41, 52.16亿
 经纬纺机,666,--, --, --, --,19.89, --, --, --, 53.07亿,23.69,0.19, 7.04亿,18.08, --, non, --, --, --, 127.31亿,1.66,10.9, 2.94亿
 永安林业,663,7,7.08,6.89, 1.32万手,7.69, 7213手, 920.39万,-63.93%, 13.77亿, --,-0.07, 3.41亿,6.99,0.67%, non, 5977手,2.72%,0.25, 23.84亿,1.11,6.32, 1.97亿
 仁和药业,650,6.91,7.33,6.9, 39.68万手,7.61, 18.25万手, 2.84亿,22.86%, 87.65亿,20.6,0.09, 12.38亿,6.92,3.21%, non, 21.43万手,6.21%,2.56, 87.67亿,2.81,2.52, 12.38亿
 天夏智慧,662,6.4,6.45,6.29, 9.76万手,7.12, 6.02万手, 6222.72万,-16.79%, 23.92亿,19.91,0.1, 10.93亿,6.47,2.61%, non, 3.74万手,2.47%,2.31, 69.85亿,0.95,6.73, 3.74亿
 ST海洋,658,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 茂化实华,637,4.28,4.3,4.23, 4.10万手,4.76, 2.61万手, 1749.20万,1.06%, 15.65亿,36.14,0.03, 5.20亿,4.33,1.12%, non, 1.49万手,1.62%,0.32, 22.20亿,2.42,1.76, 3.66亿
 *ST南华,660,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 泰达股份,652,3.08,3.13,3.06, 5.16万手,3.38, 2.71万手, 1596.16万,10.65%, 45.55亿, --,-0.01, 14.76亿,3.07,0.35%, non, 2.45万手,2.28%,0.15, 45.60亿,1.21,2.55, 14.74亿
 风华高科,636,16.42,17.15,16.42, 67.23万手,17.9, 33.93万手, 11.28亿,-77.21%, 146.03亿,32.1,0.13, 8.95亿,16.27,7.68%, non, 33.30万手,4.49%,3.82, 149.32亿,3.24,5.14, 8.75亿
 *ST金岭,655,3.4,3.42,3.38, 1.63万手,3.58, 7812手, 553.08万,-43.12%, 20.36亿,34.82,0.02, 5.95亿,3.41,0.27%, non, 8462手,1.17%,0.08, 20.36亿,0.88,3.88, 5.95亿
 ST九州,653,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 合金投资,633,4.92,5.11,4.68, 10.91万手,5.39, 5.75万手, 5349.20万,-9.28%, 19.40亿, --,-0.01, 3.85亿,4.9,2.83%, non, 5.16万手,8.78%,0.82, 19.41亿,12.7,0.4, 3.85亿
 三木集团,632,5.14,5.25,5.13, 2.16万手,5.65, 1.13万手, 1120.21万,-23.38%, 23.97亿,52.31,0.02, 4.66亿,5.14,0.46%, non, 1.03万手,2.33%,0.23, 23.97亿,1.87,2.75, 4.65亿
 格力电器,651,40.83,41.16,40.43, 39.08万手,44.4, 18.70万手, 15.93亿,32.54%, 2429.61亿,10.97,0.93, 60.16亿,40.36,0.65%, non, 20.38万手,1.81%,0.71, 2448.40亿,3.45,11.79, 59.70亿
 天茂集团,627,6.47,6.64,6.42, 9.70万手,7.08, 4.42万手, 6312.15万,19.92%, 87.85亿,23.69,0.07, 49.41亿,6.44,0.72%, non, 5.27万手,3.42%,1.05, 320.65亿,1.67,3.9, 13.54亿
 万方发展,638,5.25,5.34,5.2, 2.21万手,5.79, 9063手, 1164.19万,-13.94%, 16.43亿, --,-0.03, 3.09亿,5.26,0.71%, non, 1.30万手,2.66%,0.15, 16.43亿,6.43,0.83, 3.09亿
 英,635,12.8,13.13,12.52, 26.27万手,13.13, 19.23万手, 3.42亿,100.00%, 39.80亿,23.17,0.28, 3.03亿,11.94,8.67%, non, 7.04万手,5.11%,0.81, 39.80亿,1.3,10.12, 3.03亿
 西王食品,639,9.39,9.58,9.32, 2.02万手,10.34, 1.12万手, 1907.69万,-5.77%, 49.62亿,21.64,0.15, 7.71亿,9.4,0.38%, non, 9033手,2.77%,0.07, 72.55亿,1.31,7.21, 5.27亿
 恒立实业,622,3.79,3.96,3.56, 13.45万手,3.96, 6.46万手, 5098.97万,-4.31%, 15.48亿, --,-0.01, 4.25亿,3.6,3.16%, non, 6.99万手,11.11%,3.4, 15.48亿,8.37,0.44, 4.25亿
 顺发恒业,631,3.41,3.5,3.41, 5.06万手,3.77, 2.00万手, 1756.37万,-76.20%, 84.65亿,5.41,0.16, 24.33亿,3.43,0.21%, non, 3.07万手,2.62%,0.53, 84.65亿,1.31,2.66, 24.33亿
 高新发展,628,9.18,9.25,9.03, 3.94万手,9.94, 2.35万手, 3583.17万,-25.10%, 17.03亿,103.31,0.04, 3.11亿,9.04,2.09%, non, 1.59万手,2.43%,0.57, 28.22亿,3.67,2.47, 1.88亿
 *ST钒钛,629,--, --, --, --,3.22, --, --, --, 146.35亿,29.68,0.03, 85.90亿,3.07, --, non, --, --, --, 263.71亿,7.22,0.43, 47.67亿
 吉林敖东,623,16.91,17.02,16.85, 2.09万手,18.62, 1.16万手, 3540.32万,-5.35%, 185.87亿,15.19,0.28, 11.63亿,16.93,0.19%, non, 9335手,1.00%,0.22, 197.32亿,0.96,17.65, 10.95亿
 长安汽车,625,7.62,7.69,7.62, 6.53万手,8.42, 3.20万手, 4995.41万,-4.64%, 288.08亿,6.61,0.29, 48.03亿,7.65,0.17%, non, 3.32万手,0.92%,0.34, 367.88亿,0.75,10.2, 37.61亿
 远大控股,626,8.1,8.39,7.86, 16.56万手,9.51, 9.84万手, 1.35亿,-7.05%, 33.18亿, --,-0.05, 5.99亿,8.65,4.09%, non, 6.72万手,6.13%,0.81, 49.09亿,1.95,4.22, 4.05亿
 *ST比特,621,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 新华联,620,5.35,5.45,5.35, 1.65万手,5.93, 1.03万手, 891.67万,-38.74%, 102.42亿,65.59,0.02, 18.97亿,5.39,0.09%, non, 6258手,1.86%,0.25, 102.42亿,1.58,3.42, 18.97亿
 西安旅游,610,7.33,7.98,7.33, 34.83万手,8.47, 17.65万手, 2.64亿,-4.36%, 17.40亿, --,-0.02, 2.37亿,7.7,14.81%, non, 17.18万手,8.44%,2.66, 17.52亿,2.28,3.25, 2.35亿
 海螺型材,619,6.58,6.7,6.51, 4.35万手,7.3, 2.07万手, 2866.25万,-81.04%, 23.98亿, --,-0.04, 3.60亿,6.64,1.21%, non, 2.29万手,2.86%,0.73, 23.98亿,0.99,6.74, 3.60亿
 吉林化工,618,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 中油资本,617,11.1,11.1,10.86, 1.12万手,12.23, 6890手, 1223.55万,11.75%, 31.43亿,12.75,0.21, 90.30亿,11.12,0.39%, non, 4268手,2.16%,0.25, 986.99亿,1.35,8.11, 2.88亿
 焦作万方,612,4.9,4.92,4.81, 3.80万手,5.46, 2.30万手, 1849.08万,11.41%, 57.81亿, --,-0.08, 11.92亿,4.96,0.32%, non, 1.50万手,2.22%,0.17, 57.94亿,1.25,3.87, 11.90亿
 京汉股份,615,6.33,6.65,6.33, 9.32万手,7.01, 4.03万手, 6080.90万,-17.65%, 22.99亿, --,-0.06, 7.83亿,6.37,2.63%, non, 5.30万手,5.02%,0.39, 50.84亿,2.66,2.44, 3.54亿
 渤海股份,605,9.36,9.52,9.36, 1.41万手,10.33, 6308手, 1330.15万,-24.68%, 25.82亿,94.73,0.03, 3.53亿,9.39,0.52%, non, 7808手,1.70%,0.14, 33.36亿,1.16,8.12, 2.73亿
 天首发展,611,--, --, --, --,7.4, --, --, --, 21.49亿, --,-0.03, 3.22亿,6.73, --, non, --, --, --, 21.66亿,4.25,1.58, 3.19亿
 阳光股份,608,4.8,4.91,4.77, 1.53万手,5.29, 7067手, 743.34万,-41.14%, 36.29亿, --,-0.04, 7.50亿,4.81,0.20%, non, 8236手,2.91%,0.18, 36.30亿,1.23,3.94, 7.50亿
 华媒控股,607,4.47,4.65,4.41, 7.86万手,4.95, 3.29万手, 3565.36万,-16.84%, 40.53亿, --,-0.01, 10.18亿,4.5,0.89%, non, 4.57万手,5.33%,0.4, 46.61亿,2.61,1.76, 8.85亿
 建投能源,600,5.7,5.73,5.63, 5.61万手,6.26, 3.25万手, 3182.47万,17.20%, 61.59亿,12.62,0.11, 17.92亿,5.69,0.51%, non, 2.36万手,1.76%,0.6, 101.23亿,0.93,6.07, 10.90亿
 中迪投资,609,5.55,5.66,5.52, 2.39万手,6.11, 1.18万手, 1341.01万,2.32%, 16.29亿, --,-0.04, 2.99亿,5.55,0.82%, non, 1.21万手,2.52%,0.66, 16.70亿,1.07,5.23, 2.92亿
 韶能股份,601,4.98,5.11,4.98, 4.10万手,5.53, 2.12万手, 2066.48万,23.18%, 54.42亿,13.47,0.09, 10.81亿,5.03,0.38%, non, 1.98万手,2.58%,0.77, 54.46亿,1.2,4.22, 10.80亿
 古井贡酒,596,80.5,82.4,79.02, 2.66万手,88.98, 1.43万手, 2.15亿, --, 307.65亿,17.38,1.15, 5.04亿,80.89,0.69%, non, 1.23万手,4.18%,0.5, 403.89亿,5.75,13.94, 3.84亿
 东北制药,597,13.95,14.14,13.83, 8.74万手,15.36, 4.16万手, 1.22亿,-40.40%, 66.27亿,38.17,0.11, 5.70亿,13.96,1.85%, non, 4.58万手,2.22%,1.31, 79.74亿,2.67,5.24, 4.73亿
 国恒退,594,--, --, --, --, --, --, --, --, 19.27亿, --, --, --,1.29, --, non, --, --, --, 19.27亿, --, --, --
 大通燃气,593,6.69,6.72,6.48, 7.39万手,7.35, 4.63万手, 4861.47万,15.72%, 18.33亿, --,-0.02, 3.59亿,6.68,2.64%, non, 2.75万手,3.59%,0.64, 23.49亿,2.13,3.08, 2.80亿
 宝塔实业,595,3.95,4,3.89, 7.51万手,4.4, 5.16万手, 2949.77万,15.75%, 29.49亿,119.08,0.01, 7.64亿,4,1.00%, non, 2.35万手,2.75%,0.49, 29.88亿,4.25,0.92, 7.54亿
 平潭发展,592,2.85,2.94,2.84, 14.64万手,3.13, 6.72万手, 4230.81万,28.27%, 55.10亿, --,0, 19.32亿,2.85,0.77%, non, 7.92万手,3.51%,0.39, 55.64亿,1.76,1.64, 19.13亿
 顺利办,606,6.41,6.48,6.34, 2.18万手,7.05, 1.16万手, 1394.32万,1.90%, 35.14亿,29.75,0.05, 7.66亿,6.41,0.40%, non, 1.02万手,2.18%,0.28, 49.24亿,1.76,3.66, 5.46亿
 青岛双星,599,4.95,5,4.86, 4.01万手,5.44, 2.30万手, 1969.08万,26.64%, 30.71亿,37.99,0.03, 8.36亿,4.95,0.64%, non, 1.71万手,2.83%,0.25, 40.86亿,1.1,4.46, 6.28亿
 金洲慈航,587,3.02,3.03,2.98, 20.57万手,3.32, 10.98万手, 6179.43万,9.71%, 36.63亿,16.03,0.05, 21.24亿,3.02,1.70%, non, 9.60万手,1.66%,3.51, 64.14亿,0.67,4.48, 12.13亿
 盛达矿业,603,--, --, --, --,11.91, --, --, --, 44.48亿,27.82,0.1, 6.90亿,10.83, --, non, --, --, --, 74.72亿,2.98,3.63, 4.11亿
 金马退市,602,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 兴蓉环境,598,4.49,4.51,4.4, 11.14万手,4.93, 8.02万手, 4948.09万,11.87%, 132.59亿,14.35,0.08, 29.86亿,4.48,0.37%, non, 3.12万手,2.46%,0.4, 132.59亿,1.34,3.32, 29.86亿
 黔轮胎Ａ,589,3.54,3.59,3.5, 4.88万手,3.89, 2.77万手, 1731.72万,54.63%, 27.60亿,165.83,0.01, 7.75亿,3.54,0.63%, non, 2.11万手,2.54%,0.52, 27.61亿,0.83,4.3, 7.75亿
 北部湾港,582,8.26,8.32,8.17, 4.47万手,9.13, 2.18万手, 3692.17万,-37.64%, 21.87亿,19.35,0.11, 13.87亿,8.3,1.70%, non, 2.29万手,1.81%,0.99, 115.22亿,1.58,5.26, 2.63亿
 启迪古汉,590,9.44,9.53,9.25, 5137手,10.34, 3101手, 483.43万,5.68%, 21.21亿,104.21,0.02, 2.39亿,9.4,0.23%, non, 2035手,2.98%,0.33, 22.75亿,3.86,2.46, 2.23亿
 汇源通信,586,9.27,9.59,9.27, 8293手,10.16, 3414手, 783.71万,-37.81%, 18.38亿, --,-0.02, 1.93亿,9.24,0.43%, non, 4878手,3.46%,0.27, 18.38亿,7.89,1.2, 1.93亿
 PT粤金曼,588,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 太阳能,591,3.74,3.75,3.66, 17.13万手,4.15, 11.47万手, 6346.16万,46.99%, 75.17亿,19.55,0.05, 30.07亿,3.77,0.84%, non, 5.66万手,2.39%,3.74, 110.96亿,0.91,4.07, 20.37亿
 粤宏远Ａ,573,3.3,3.4,3.3, 3.93万手,3.63, 1.52万手, 1318.37万,-56.20%, 20.97亿, --,-0.02, 6.48亿,3.3,0.63%, non, 2.41万手,3.03%,0.12, 21.84亿,1.31,2.58, 6.22亿
 海马汽车,572,3,3.01,2.96, 7.21万手,3.3, 4.08万手, 2156.65万,-26.76%, 49.43亿, --,-0.05, 16.45亿,3,0.44%, non, 3.13万手,1.67%,0.54, 49.50亿,0.77,3.92, 16.42亿
 新大洲Ａ,571,3.91,3.97,3.9, 6.94万手,4.31, 4.25万手, 2726.29万,-13.77%, 31.53亿,43.74,0.02, 8.14亿,3.92,0.86%, non, 2.69万手,1.79%,0.65, 31.91亿,1.44,2.72, 8.04亿
 广东甘化,576,5.39,5.41,5.19, 25.12万手,5.9, 13.82万手, 1.33亿,39.95%, 23.00亿,393.53,0, 4.43亿,5.36,5.77%, non, 11.29万手,4.10%,12.88, 23.38亿,2.29,2.3, 4.36亿
 苏常柴Ａ,570,4.26,4.34,4.24, 1.62万手,4.7, 5346手, 696.24万,-56.33%, 17.77亿,53.45,0.02, 5.61亿,4.27,0.39%, non, 1.09万手,2.34%,0.17, 24.25亿,1.09,3.96, 4.11亿
 哈工智能,584,9.58,9.69,9.53, 6.05万手,10.58, 3.49万手, 5794.07万,5.10%, 58.44亿,44.97,0.11, 6.13亿,9.62,0.99%, non, 2.56万手,1.66%,0.74, 58.63亿,3.56,2.68, 6.11亿
 泸州老窖,568,48.65,50.3,48.06, 12.74万手,53.67, 6.47万手, 6.25亿,-41.84%, 687.85亿,14.84,0.83, 14.65亿,48.79,0.91%, non, 6.27万手,4.59%,1.07, 718.75亿,4.39,11.18, 14.02亿
 渝三峡Ａ,565,5.47,5.48,5.32, 4.44万手,6.06, 2.72万手, 2400.71万,16.42%, 23.41亿,52.85,0.03, 4.34亿,5.51,1.02%, non, 1.72万手,2.90%,0.15, 23.41亿,2.22,2.43, 4.34亿
 *ST东电,585,1.95,1.97,1.94, 1.83万手,2.05, 1.12万手, 356.67万,-19.02%, 11.88亿, --,-0.01, 8.73亿,1.95,0.30%, non, 7046手,1.54%,0.04, 17.03亿,-8.51,-0.23, 6.09亿
 海德股份,567,13.55,13.7,13.23, 2.96万手,14.71, 1.72万手, 3975.52万,-15.44%, 20.04亿,64.31,0.05, 4.42亿,13.37,1.97%, non, 1.24万手,3.52%,0.09, 58.94亿,1.46,9.13, 1.50亿
 S*ST托普,583,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 长城股份,569,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 万向钱潮,559,6.27,6.42,6.27, 5.21万手,6.97, 3.07万手, 3302.93万,-11.93%, 176.20亿,17.82,0.09, 27.53亿,6.34,0.19%, non, 2.14万手,2.37%,0.28, 176.20亿,3.33,1.92, 27.53亿
 供销大集,564,3.42,3.46,3.35, 34.09万手,3.78, 18.61万手, 1.16亿,29.61%, 64.21亿,27.32,0.03, 60.08亿,3.44,1.81%, non, 15.48万手,3.20%,7.35, 204.27亿,0.67,5.09, 18.89亿
 莱茵体育,558,3.44,3.5,3.42, 9.20万手,3.82, 5.38万手, 3183.77万,22.46%, 44.32亿,105.51,0.01, 12.89亿,3.47,0.71%, non, 3.83万手,2.31%,0.55, 44.35亿,3.33,1.03, 12.88亿
 盐湖集团,578,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 神州信息,555,11.75,12.08,11.69, 14.31万手,13.05, 7.09万手, 1.70亿,-9.26%, 113.11亿,98.15,0.03, 9.63亿,11.86,1.52%, non, 7.23万手,3.29%,1.9, 115.80亿,2.35,5.11, 9.41亿
 烽火电子,561,5.97,6.05,5.95, 1.65万手,6.58, 9793手, 987.05万,-30.45%, 35.76亿, --,-0.03, 6.05亿,5.98,0.28%, non, 6658手,1.67%,0.08, 36.41亿,2.89,2.09, 5.94亿
 泰山石油,554,6.4,6.47,6.33, 8.39万手,7.08, 4.80万手, 5361.63万,30.56%, 23.14亿,3645.97,0, 4.81亿,6.44,2.31%, non, 3.59万手,2.17%,0.52, 30.67亿,3.34,1.91, 3.63亿
 陕国投Ａ,563,2.88,2.92,2.87, 10.25万手,3.18, 3.68万手, 2967.59万,-28.01%, 105.97亿,23.41,0.04, 39.64亿,2.89,0.28%, non, 6.57万手,1.73%,0.09, 114.56亿,1.11,2.6, 36.67亿
 我爱我家,560,5.69,5.84,5.66, 4.37万手,6.26, 2.11万手, 2518.11万,1.53%, 64.84亿,23.17,0.08, 23.56亿,5.69,0.39%, non, 2.26万手,3.16%,2.5, 135.21亿,1.09,5.26, 11.30亿
 靖远煤电,552,3.31,3.33,3.29, 8.75万手,3.65, 5.33万手, 2895.23万,-46.76%, 51.55亿,10.16,0.08, 22.87亿,3.32,0.56%, non, 3.43万手,1.20%,0.15, 75.70亿,1.06,3.12, 15.57亿
 创元科技,551,6.02,6.07,6, 9201手,6.67, 4289手, 555.35万,-10.76%, 24.16亿,32,0.05, 4.00亿,6.06,0.23%, non, 4912手,1.16%,0.1, 24.16亿,1.48,4.07, 4.00亿
 航天发展,547,7.3,7.36,7.26, 7.31万手,8.04, 3.87万手, 5348.06万,-16.55%, 70.70亿,32.79,0.06, 14.30亿,7.31,0.76%, non, 3.44万手,1.37%,0.33, 104.65亿,1.91,3.83, 9.66亿
 江铃汽车,550,11.24,11.33,11.2, 5067手,12.4, 2881手, 571.32万,28.18%, 58.43亿,15.83,0.18, 8.63亿,11.27,0.10%, non, 2185手,1.15%,0.34, 97.28亿,0.91,12.43, 5.18亿
 湖南投资,548,4.69,4.77,4.58, 8.35万手,5.21, 4.95万手, 3891.65万,-12.51%, 23.51亿,187.91,0.01, 4.99亿,4.74,1.67%, non, 3.40万手,4.01%,1.08, 23.51亿,1.43,3.3, 4.99亿
